year,Base case diesel consumed,Galena (kalakaket creek)
2021,427979.889095,374471.322481
2022,428054.731899,374546.165285
2023,427979.889095,374471.322481
2024,427979.889095,374471.322481
2025,427979.889095,374471.322481
2026,428129.574702,374621.008088
2027,428204.417505,374695.850891
2028,428428.945915,374920.379301
2029,428503.788719,374995.222105
2030,428578.631522,375070.064908
2031,428653.474325,375144.907711
2032,428728.317129,375219.750515
2033,428728.317129,375219.750515
2034,428803.159932,375294.593318
2035,428803.159932,375294.593318
2036,428803.159932,375294.593318
2037,428728.317129,375219.750515
2038,428653.474325,375144.907711
2039,428653.474325,375144.907711
2040,428578.631522,375070.064908
2041,428503.788719,374995.222105
2042,428354.103112,374845.536498
2043,428204.417505,374695.850891
2044,428054.731899,374546.165285
2045,427830.203489,374321.636875
2046,427605.675079,374097.108465
2047,427381.146669,373872.580055
2048,427081.775455,373573.208841
2049,426857.247045,373348.680431
2050,426557.875832,373049.309218
2051,426557.875832,373049.309218
2052,426557.875832,373049.309218
2053,426557.875832,373049.309218
2054,426557.875832,373049.309218
2055,426557.875832,373049.309218
2056,426557.875832,373049.309218
2057,426557.875832,373049.309218
2058,426557.875832,373049.309218
2059,426557.875832,373049.309218
2060,426557.875832,373049.309218
2061,426557.875832,373049.309218
2062,426557.875832,373049.309218
2063,426557.875832,373049.309218
2064,426557.875832,373049.309218
2065,426557.875832,373049.309218
2066,426557.875832,373049.309218
2067,426557.875832,373049.309218
2068,426557.875832,373049.309218
2069,426557.875832,373049.309218
2070,426557.875832,373049.309218
