year,Base case diesel consumed,Modeled solar power (pv)
2016,427156.618259,422608.265198
2017,427381.146669,422869.180433
2018,427530.832275,423054.961769
2019,427680.517882,423240.45434
2020,427830.203489,423425.660455
2021,427979.889095,423610.582406
2022,428054.731899,423720.379663
2023,427979.889095,423680.211677
2024,427979.889095,423714.609097
2025,427979.889095,423748.731337
2026,428129.574702,423932.266205
2027,428204.417505,424040.687477
2028,428428.945915,424298.525727
2029,428503.788719,424406.411892
2030,428578.631522,424514.03371
2031,428653.474325,424621.393295
2032,428728.317129,424728.492747
2033,428728.317129,424760.491342
2034,428803.159932,424867.076752
2035,428803.159932,424898.565417
