year,Base case cost,Modeled wind power
2019,1676507.6301,2186374.68207
2020,1775495.34448,2259266.32253
2021,1848873.12089,2309920.38382
2022,1900563.00963,2341745.42659
2023,1934469.09871,2358132.23556
2024,1964427.69095,2371392.90847
2025,1998666.08207,2388736.25555
2026,2042178.07133,2414643.30571
2027,2081073.46908,2436733.43554
2028,2112154.70336,2452307.72116
2029,2151089.01937,2475004.50867
2030,2177179.44813,2486647.96365
2031,2220424.997,2513691.88068
2032,2263685.51444,2541012.00575
2033,2310845.62932,2571981.30299
2034,2358417.37963,2603611.37304
2035,2388433.60082,2619951.37918
2036,2435601.94841,2651658.94043
2037,2465187.82349,2668038.22351
2038,2511909.35955,2699757.58953
