year,Base case cost,Modeled non-residential energy efficiency
2017,4224023.96409,4163236.79007
2018,4493852.64805,4397590.32588
2019,4868614.70909,4727491.05337
2020,5041005.25717,4873850.38889
2021,5168424.35792,4979607.39749
2022,5258367.25258,5051563.37184
2023,5318329.18234,5096519.73602
2024,5370795.87089,5134891.83296
2025,5430757.80066,5180288.23546
2026,5505710.21286,5239510.7433
2027,5573167.38385,5292133.69441
2028,5625634.0724,5331345.33394
2029,5693091.24339,5384368.49754
2030,5738062.69071,5417164.07428
2031,5813015.10292,5477375.80564
