year,annotation,Average Load
2003,,911.0
2004,,799.0
2005,,480.0
2006,,732.0
2007,,842.0
2008,,635.0
2009,,502.0
2010,,499.0
2011,,498.0
2012,,525.0
2013,,497.0
2014,,497.0
2015,,472.0
2016,start of forecast,499.0
2017,,499.0
2018,,499.0
2019,,499.0
2020,,499.0
2021,,500.0
2022,,500.0
2023,,500.0
2024,,500.0
2025,,500.0
2026,,500.0
2027,,500.0
2028,,500.0
2029,,500.0
2030,,500.0
2031,,500.0
2032,,500.0
2033,,501.0
2034,,501.0
2035,,501.0
2036,,501.0
2037,,500.0
2038,,500.0
2039,,500.0
2040,,500.0
