year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,200677.238106,,,,,223069.692093,,,,,
2021,209937.774451,578538.884741,1389904.85458,601676.361481,996357.761948,226268.103945,2079196.70733,328577.49872,553243.674597,1210498.3657,269322.560206
2022,216471.555926,581845.44115,1391639.97544,605193.522654,996977.42058,227876.409271,2080185.07157,330272.479222,553481.505289,1209831.07974,275457.267879
2023,220963.25131,583990.063759,1392641.73583,607491.312364,997829.655752,229337.042409,2081264.2025,331786.45093,553566.035125,1209282.02792,279669.611602
2024,224521.442909,585787.950776,1393582.47619,609404.074708,998203.319666,230243.054543,2081836.4002,332739.134313,553346.656255,1208519.57906,282988.358919
2025,228987.807783,587907.242875,1394558.90607,611676.533908,998575.291801,231299.47439,2082463.63006,333855.560052,553405.855581,1207945.19673,287175.372132
2026,234789.239522,591068.217742,1396434.16094,615009.821763,999827.398275,233312.078322,2083999.35624,335934.837196,553540.931615,1207265.66778,292617.637449
2027,239233.253946,593165.159391,1397388.24037,617259.930513,1000177.01996,234346.147719,2084604.23565,337028.912484,553577.780491,1206668.935,296782.300211
2028,242995.579653,594873.796419,1398096.87296,619102.588755,1000754.81798,235456.293961,2085380.56746,338185.729975,553562.535728,1206110.62025,300305.181637
2029,248365.647711,597603.407606,1399540.76415,622004.512931,1001575.56078,237037.534213,2086484.92995,339833.643439,553895.84316,1205719.83436,305355.990654
2030,251721.940248,599492.779658,1400715.84732,623989.614421,1002202.25815,238120.530065,2087281.79915,340956.643219,554104.160305,1205475.59318,308512.746289
2031,257763.266814,602600.265255,1402394.75514,627288.558895,1003239.32693,239994.146043,2088630.84959,342903.59973,554479.131167,1205035.95906,314194.906433
2032,263219.011597,605122.169068,1403488.08118,630001.921585,1003690.81392,241282.180237,2089394.31825,344264.974459,554268.520245,1204010.74315,319291.484794
2033,268947.431866,607916.748369,1404854.08271,632987.959762,1004414.9764,242842.889919,2090430.4624,345899.024674,554330.584809,1203258.20274,324660.738641
2034,275023.774137,611059.24967,1406568.00624,636321.91994,1005487.06088,244751.521601,2091814.52855,347880.99689,554110.976297,1202133.47757,330338.00711
2035,278717.558464,612699.345319,1407208.09745,638096.036803,1005541.38499,245414.243683,2092095.74842,348597.057542,554027.190155,1201506.62144,333792.347156
2036,285066.576222,615821.138011,1408758.45459,641428.434258,1006431.21243,247216.668072,2093325.9195,350479.489786,554080.257129,1200654.57177,339742.291111
2037,288396.793234,617391.050441,1409471.22036,643113.222015,1006576.90176,247894.705619,2093670.14261,351204.198581,554262.49875,1200384.25506,342872.971222
2038,294727.185617,620494.217758,1411002.95213,646426.994095,1007448.10383,249678.504633,2094881.68832,353068.00545,554296.94035,1199513.58001,348804.289802
2039,299713.570955,623133.530321,1412499.40247,649219.473759,1008340.09643,251254.944944,2096028.93865,354704.451653,554246.565061,1198739.1114,353471.416099
2040,307023.658051,626923.008254,1414574.58708,653238.702345,1009736.06068,253639.555891,2097793.60851,357175.737776,554631.106296,1198128.02433,360342.522013
2041,306679.461125,626578.811328,1414230.39015,652894.505419,1009391.86375,253295.358965,2097449.41158,356831.54085,554286.90937,1197783.8274,359998.325087
2042,306335.264199,626234.614402,1413886.19323,652550.308493,1009047.66683,252951.162039,2097105.21465,356487.343924,553942.712444,1197439.63047,359654.12816
2043,306335.264199,626234.614402,1413886.19323,652550.308493,1009047.66683,252951.162039,2097105.21465,356487.343924,553942.712444,1197439.63047,359654.12816
2044,305991.067273,625890.417476,1413541.9963,652206.111566,1008703.4699,252606.965113,2096761.01773,356143.146998,553598.515518,1197095.43355,359309.931234
2045,305991.067273,625890.417476,1413541.9963,652206.111566,1008703.4699,252606.965113,2096761.01773,356143.146998,553598.515518,1197095.43355,359309.931234
2046,305991.067273,625890.417476,1413541.9963,652206.111566,1008703.4699,252606.965113,2096761.01773,356143.146998,553598.515518,1197095.43355,359309.931234
2047,305646.870347,625546.22055,1413197.79938,651861.91464,1008359.27297,252262.768187,2096416.8208,355798.950072,553254.318592,1196751.23662,358965.734308
2048,305646.870347,625546.22055,1413197.79938,651861.91464,1008359.27297,252262.768187,2096416.8208,355798.950072,553254.318592,1196751.23662,358965.734308
2049,305646.870347,625546.22055,1413197.79938,651861.91464,1008359.27297,252262.768187,2096416.8208,355798.950072,553254.318592,1196751.23662,358965.734308
2050,305646.870347,625546.22055,1413197.79938,651861.91464,1008359.27297,252262.768187,2096416.8208,355798.950072,553254.318592,1196751.23662,358965.734308
