year,Base case diesel consumed,Modeled solar power (pv)
2016,68094.3702217,67066.0344614
2017,67945.3672234,66925.2581492
2018,67945.3672234,66933.4190218
2019,67870.8657243,66867.0131083
2020,67796.3642251,66800.5424301
2021,67721.862726,66734.0075053
2022,67647.3612268,66667.4088479
2023,67572.8597277,66600.7469678
2024,67423.8567294,66459.5208716
2025,67349.3552303,66392.7340593
2026,67274.8537311,66325.8855295
2027,67200.352232,66258.975776
2028,67125.8507328,66192.0052885
2029,67125.8507328,66199.476052
2030,67125.8507328,66206.8870495
2031,67125.8507328,66214.2387589
2032,66976.8477345,66072.5286564
2033,66902.3462354,66005.2617099
2034,66753.3432371,65863.4353878
2035,66678.8417379,65796.0531514
