year,Base case cost,Chignik lake area wind-hydro final design,Modeled wind power
2019,188002.298056,,331876.321059
2020,200677.238106,,340770.534734
2021,209937.774451,,347245.272695
2022,216471.555926,,351789.198183
2023,220963.25131,,354887.994376
2024,224521.442909,,357252.272383
2025,228987.807783,,360325.738066
2026,234789.239522,,364336.299416
2027,239233.253946,,367387.414649
2028,242995.579653,,369955.826763
2029,248365.647711,,373734.010032
2030,251721.940248,,376095.374575
2031,257763.266814,,380345.830752
2032,263219.011597,,384010.705146
2033,268947.431866,,387948.255027
2034,275023.774137,,392034.74131
2035,278717.558464,,394534.612046
2036,285066.576222,,398893.773816
2037,288396.793234,,401229.062834
2038,294727.185617,,405569.599229
