year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8003.13654318,5058.93273526
2018,8098.66461581,5119.31782193
2019,8203.25900699,5185.43389861
2020,8279.45227119,5233.59709019
2021,8368.75016274,5290.04396252
2022,8450.55538765,5341.75457972
2023,8561.53759926,5411.90851753
2024,8640.93985223,5462.1001711
2025,8723.90201286,5514.54210907
2026,8841.97251191,5589.17668634
2027,8928.2505819,5643.71467283
2028,9032.69967072,5709.73890117
2029,9119.43283865,5764.5645636
2030,9209.91508145,5821.76008658
2031,9302.22594066,5880.11151229
