year,Base case cost,Modeled residential energy efficiency
2017,1050968.52501,1002487.55648
2018,1115441.51342,1053473.4847
2019,1191105.97624,1111753.11327
2020,1241172.29144,1152078.72425
2021,1272428.16986,1175663.24065
2022,1310198.18885,1206635.19672
2023,1340474.13604,1231780.69868
2024,1360797.71032,1247047.42442
2025,1393672.86384,1274539.53758
2026,1429008.2621,1304164.01912
2027,1462655.42454,1332566.87078
2028,1494521.7101,1359653.84507
2029,1518154.73891,1378174.86595
2030,1548394.54938,1404162.63081
2031,1585567.32886,1435951.51254
2032,1636449.70097,1481112.80102
2033,1663500.26556,1502899.79661
2034,1704322.1835,1538118.13947
2035,1736229.53323,1566070.86561
2036,1777916.10116,1602265.92332
