year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,183845.38,8003.14,92908.77,138291.61
2018,185726.89,8098.66,92908.77,140675.7
2019,187985.91,8203.26,92908.77,141867.75
2020,189797.64,8279.45,92908.77,144251.84
2021,191686.1,8368.75,92908.77,145443.89
2022,193552.96,8450.56,92908.77,147827.98
2023,196006.35,8561.54,92908.77,150212.07
2024,197717.29,8640.94,92908.77,151404.12
2025,199584.24,8723.9,92908.77,153788.21
2026,202168.48,8841.97,92908.77,156172.3
2027,204102.97,8928.25,92908.77,158556.4
2028,206398.89,9032.7,92908.77,160940.49
2029,208335.73,9119.43,92908.77,162132.53
2030,210343.66,9209.92,92908.77,164516.63
2031,212352.16,9302.23,92908.77,166900.72
2032,216081.91,9468.42,92908.77,170476.86
2033,218233.61,9565.23,92908.77,171668.9
2034,220313.7,9660.38,92908.77,174053.0
2035,222465.47,9756.35,92908.77,176437.09
2036,224617.23,9853.23,92908.77,178821.18
2037,226984.19,9961.39,92908.77,181205.27
2038,230211.85,10106.9,92908.77,183589.37
2039,232578.8,10215.21,92908.77,185973.46
2040,234874.02,10317.8,92908.77,188357.55
