year,Base case diesel consumed,Modeled transmission and interties
2021,29198.6536464,0.0
2022,29198.6536464,0.0
2023,29198.6536464,0.0
2024,29101.3248009,0.0
2025,29101.3248009,0.0
2026,29003.9959555,0.0
2027,29003.9959555,0.0
2028,28906.66711,0.0
2029,28906.66711,0.0
2030,28906.66711,0.0
2031,28809.3382645,0.0
2032,28809.3382645,0.0
2033,28712.009419,0.0
2034,28712.009419,0.0
2035,28614.6805735,0.0
2036,28614.6805735,0.0
2037,28614.6805735,0.0
2038,28614.6805735,0.0
2039,28517.351728,0.0
2040,28517.351728,0.0
