year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,4526.9,142545.0,142545.0
2004,,4526.9,177382.0,177382.0
2005,,4526.9,173405.0,173405.0
2006,,4526.9,240978.0,240978.0
2007,,4526.9,263819.0,263819.0
2008,,4526.9,275550.0,275550.0
2009,,4526.9,253759.0,253759.0
2010,,4526.9,286638.0,286638.0
2011,,4526.9,312488.0,312488.0
2012,,4526.9,318374.0,318374.0
2013,,4526.9,301402.0,301402.0
2014,start of forecast,4526.9,303000.0,303000.0
2015,,4526.9,303000.0,303000.0
2016,,4526.9,302000.0,302000.0
2017,,4526.9,302000.0,302000.0
2018,,4526.9,302000.0,302000.0
2019,,4526.9,301000.0,301000.0
2020,,4526.9,301000.0,301000.0
2021,,4526.9,300000.0,300000.0
2022,,4526.9,300000.0,300000.0
2023,,4526.9,300000.0,300000.0
2024,,4526.9,299000.0,299000.0
2025,,4526.9,299000.0,299000.0
2026,,4526.9,298000.0,298000.0
2027,,4526.9,298000.0,298000.0
2028,,4526.9,297000.0,297000.0
2029,,4526.9,297000.0,297000.0
2030,,4526.9,297000.0,297000.0
2031,,4526.9,296000.0,296000.0
2032,,4526.9,296000.0,296000.0
2033,,4526.9,295000.0,295000.0
2034,,4526.9,295000.0,295000.0
2035,,4526.9,294000.0,294000.0
2036,,4526.9,294000.0,294000.0
2037,,4526.9,294000.0,294000.0
2038,,4526.9,294000.0,294000.0
2039,,4526.9,293000.0,293000.0
2040,,4526.9,293000.0,293000.0
