year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1001.32535252,842.95757905
2018,998.893894826,840.910676225
2019,997.259723987,839.534962836
2020,996.268851194,838.700804659
2021,994.691336362,837.372786667
2022,993.61327972,836.465233478
2023,992.525559976,835.549545485
2024,991.403992384,834.605362958
2025,990.677667242,833.993912063
2026,989.332039856,832.861106626
2027,987.969353587,831.713940307
2028,986.507391095,830.48319911
2029,985.342420522,829.502478137
2030,984.050695969,828.41505036
2031,981.839249281,826.553362007
