year,Base case cost,"Twin hills, alaska heat recovery study"
2019,310857.418458,312465.401474
2020,323124.000366,323606.983382
2021,331955.93934,331628.922356
2022,338334.561932,337422.544948
2023,342750.531419,341433.514435
2024,346185.174353,344553.15737
2025,350601.14384,348564.126857
2026,355998.43988,353466.422896
2027,360414.409367,357477.392383
2028,363849.052301,360597.035317
2029,368755.685064,365053.668081
2030,371699.664722,367727.647739
2031,377096.960762,372629.943778
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
