year,Base case cost,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,133656.446716,406031.693937,,
2021,140000.8983,399725.298903,566814.906543,685616.294664
2022,144653.496129,393273.145574,555769.012441,678590.586295
2023,147614.240202,386671.107089,544955.860453,670381.727967
2024,150574.984275,380237.004463,534397.287425,662424.354206
2025,153535.728348,373966.902127,524087.327312,654712.571485
2026,157342.399298,368017.882663,514034.127532,647960.959745
2027,160726.10681,362144.802881,504211.036342,641083.39386
2028,163686.850883,356343.996825,494612.496412,634074.384052
2029,167385.192215,351087.44546,485561.690036,627963.540261
2030,169927.752096,345505.774543,476407.867191,621040.634343
2031,173741.591919,340310.130252,467493.032598,615413.638164
2032,177979.191722,335334.659129,458796.564727,610355.629931
2033,181793.031545,330413.586039,450297.96078,605139.805139
2034,186454.391328,325787.510715,442015.75206,600844.29622
2035,188996.95121,320884.510538,433890.746365,594937.70224
2036,193658.310993,316514.149688,425996.182818,591025.126689
2037,196200.870874,311860.870761,418249.73699,585492.491203
2038,200438.470677,307653.118742,410717.077331,581584.145161
2039,203828.55052,303400.511771,403347.221375,577130.073037
2040,208913.670283,299587.850303,396182.690573,574291.932184
2041,208913.670283,294912.286794,389094.864854,567290.258569
2042,208913.670283,290346.306695,382173.159883,560452.686515
2043,208913.670283,285887.341998,375413.682741,553775.370418
2044,209306.365152,281925.579114,369205.325653,547647.248728
2045,209306.365152,277673.179045,362758.985971,541279.263925
2046,209306.365152,273520.444421,356463.732102,535060.528496
2047,209306.365152,269465.039673,350316.023484,528987.544915
2048,209306.365152,265504.68337,344312.40163,523056.89673
2049,209306.365152,261637.147858,338449.489572,517265.248023
2050,209306.365152,257860.25782,332723.989683,511609.341248
