year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1697.57561831,1103.4241519
2018,1700.6050353,1105.39327294
2019,1700.64341705,1105.41822108
2020,1699.27675246,1104.5298891
2021,1695.63048586,1102.15981581
2022,1692.90675213,1100.38938888
2023,1690.42427513,1098.77577883
2024,1685.47165812,1095.55657778
2025,1682.2188045,1093.44222292
2026,1675.27581941,1088.92928262
2027,1673.03322837,1087.47159844
2028,1668.29993567,1084.39495819
2029,1657.50643822,1077.37918484
2030,1648.77870158,1071.70615603
2031,1642.16607373,1067.40794793
