year,Base case diesel consumed,Modeled transmission and interties
2021,84592.6877948,42296.3438974
2022,84592.6877948,42296.3438974
2023,84592.6877948,42296.3438974
2024,84592.6877948,42296.3438974
2025,84592.6877948,42296.3438974
2026,84592.6877948,42296.3438974
2027,84592.6877948,42296.3438974
2028,84592.6877948,42296.3438974
2029,84751.9960581,42375.998029
2030,84751.9960581,42375.998029
2031,84751.9960581,42375.998029
2032,84751.9960581,42375.998029
2033,84751.9960581,42375.998029
2034,84751.9960581,42375.998029
2035,84751.9960581,42375.998029
2036,84751.9960581,42375.998029
2037,84751.9960581,42375.998029
2038,84751.9960581,42375.998029
2039,84751.9960581,42375.998029
2040,84751.9960581,42375.998029
