year,Base case cost,Modeled solar power (pv)
2016,76133.4190153,80934.7702771
2017,93474.9200133,97847.0136555
2018,106586.786621,110612.271986
2019,125197.177936,128786.382172
2020,133656.446716,136993.818836
2021,140000.8983,143128.002294
2022,144653.496129,147603.693591
2023,147614.240202,150420.112014
2024,150574.984275,153239.875615
2025,153535.728348,156062.912498
2026,157342.399298,159721.072129
2027,160726.10681,162966.574149
2028,163686.850883,165799.181869
2029,167385.192215,169365.549875
2030,169927.752096,171792.745539
2031,173741.591919,175473.801223
2032,177979.191722,179574.969206
2033,181793.031545,183262.068215
2034,186454.391328,187786.453576
2035,188996.95121,190227.666501
