year,Base case cost,Modeled biomass for heat (cordwood)
2017,187564.055854,217369.463788
2018,205334.155854,230508.916759
2019,230421.355854,249058.732719
2020,241919.655854,257560.7317
2021,250282.055854,263744.003686
2022,256553.855854,268381.457676
2023,260735.055854,271473.093669
2024,264393.605854,274178.275163
2025,268574.805854,277269.911157
2026,274323.955854,281520.910647
2027,278505.155854,284612.54664
2028,282163.705854,287317.728134
2029,286867.555854,290795.818627
2030,290003.455854,293114.545622
2031,295752.605854,297365.545112
2032,,
2033,,
2034,,
2035,,
2036,,
