year,Base case diesel consumed,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,10232.0609762,0.0,0.0,0.0
2022,10110.2202663,0.0,0.0,0.0
2023,9866.53884649,0.0,0.0,0.0
2024,9622.8574267,0.0,0.0,0.0
2025,9501.01671681,0.0,0.0,0.0
2026,9257.33529702,0.0,0.0,0.0
2027,9013.65387723,0.0,0.0,0.0
2028,8891.81316734,0.0,0.0,0.0
2029,8769.97245745,0.0,0.0,0.0
2030,8648.13174755,0.0,0.0,0.0
2031,8526.29103766,0.0,0.0,0.0
2032,8282.60961787,0.0,0.0,0.0
2033,8038.92819808,0.0,0.0,0.0
2034,7795.2467783,0.0,0.0,0.0
2035,7551.56535851,0.0,0.0,0.0
2036,7429.72464862,0.0,0.0,0.0
2037,7186.04322883,0.0,0.0,0.0
2038,6942.36180904,0.0,0.0,0.0
2039,6820.52109915,0.0,0.0,0.0
2040,6576.83967936,0.0,0.0,0.0
2041,6211.31754968,0.0,0.0,0.0
2042,5967.63612989,0.0,0.0,0.0
2043,5845.79542,0.0,0.0,0.0
2044,5602.11400021,0.0,0.0,0.0
2045,5358.43258042,0.0,0.0,0.0
2046,5114.75116063,0.0,0.0,0.0
2047,4871.06974085,0.0,0.0,0.0
2048,4627.38832106,0.0,0.0,0.0
2049,4505.54761116,0.0,0.0,0.0
2050,4261.86619138,0.0,0.0,0.0
