year,Base case cost,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,36937.740124,18132171.6275,444169.99064,265043.34594
2022,37711.1215932,18125445.3344,443283.048676,264405.909428
2023,37591.5130051,18120325.9428,442056.557799,263345.755519
2024,37336.6868156,18115696.3065,440833.209607,262267.952173
2025,37624.0261986,18110983.8628,440013.666701,261614.746235
2026,37677.3546589,18104162.4897,438545.032015,260374.824879
2027,37406.6635905,18098892.0156,437167.458658,259163.58849
2028,37523.4515662,18094633.9934,436315.724631,258457.399309
2029,37798.5812916,18089284.3672,435345.611781,257674.415549
2030,37792.3357368,18085528.2844,434509.20451,256962.761003
2031,38197.7838487,18079059.0309,433392.689475,256074.959299
2032,37934.3520499,18072545.8703,431745.654815,254635.845848
2033,37702.573249,18065439.3899,429991.912868,253110.817231
2034,37417.1845358,18058279.2995,428184.561007,251532.178702
2035,36776.1232959,18053263.4281,426574.977765,250068.140306
2036,37000.0287501,18046612.6319,425276.920072,248998.795944
2037,36289.5183056,18041527.3113,423597.887625,247465.308343
2038,35892.0105527,18033630.129,421540.056439,245656.982609
2039,35875.9409815,18027989.3036,420278.744293,244582.799551
2040,35383.3974749,18019997.0855,418125.877354,242679.438063
2041,33416.8884173,18018030.5765,416159.368296,240712.929005
2042,32105.8823788,18016719.5705,414848.362257,239401.922967
2043,31450.3793596,18016064.0674,414192.859238,238746.419948
2044,30139.3733211,18014753.0614,412881.8532,237435.413909
2045,28828.3672827,18013442.0554,411570.847161,236124.407871
2046,27517.3612442,18012131.0493,410259.841123,234813.401832
2047,26206.3552057,18010820.0433,408948.835084,233502.395794
2048,24895.3491673,18009509.0372,407637.829046,232191.389756
2049,24239.8461481,18008853.5342,406982.326027,231535.886736
2050,22928.8401096,18007542.5282,405671.319988,230224.880698
