year,Base case cost,Modeled transmission and interties
2021,376947.133048,
2022,389022.765806,
2023,396437.99141,
2024,402776.145139,
2025,410598.318714,
2026,421012.044188,
2027,428276.187312,
2028,434985.955206,
2029,443737.773398,
2030,449382.653487,
2031,460148.498613,
2032,469303.609555,
2033,479432.227768,
2034,489507.236069,
2035,495459.154748,
2036,506043.457216,
2037,511925.92669,
2038,522830.670225,
2039,531291.28912,
2040,542100.996902,
