year,Base case diesel consumed,Modeled solar power (pv)
2016,145885.533312,144592.183337
2017,145885.533312,144602.530137
2018,145669.859777,144397.120627
2019,145669.859777,144407.302541
2020,145454.186241,144201.729463
2021,145310.403884,144067.96676
2022,145741.750955,144509.253328
2023,146173.098026,144950.46038
2024,146676.336275,145463.47973
2025,146963.900989,145760.747296
2026,146892.00981,145698.481347
2027,146676.336275,145492.35604
2028,146460.662739,145286.154346
2029,146676.336275,145511.223949
2030,146532.553918,145376.76249
2031,146532.553918,145386.008822
2032,146316.880383,145179.507647
2033,146244.989204,145116.715451
2034,145957.42449,144838.176927
2035,146029.315669,144919.022086
