year,Base case diesel consumed,Shungnak river,Cosmos creek,Kogoluktuk river,Cosmos hills hydroelectric design & permitting,Dahl creek,Wesley creek
2020,145454.186241,,,,0.0,,
2021,145310.403884,0.0,0.0,0.0,0.0,49558.4196629,24317.5505643
2022,145741.750955,431.34707066,431.34707066,431.34707066,287.564713773,49989.7667336,24748.897635
2023,146173.098026,862.694141319,862.694141319,862.694141319,718.911784433,50421.1138043,25180.2447057
2024,146676.336275,1365.93239042,1365.93239042,1365.93239042,1222.15003354,50924.3520534,25683.4829548
2025,146963.900989,1653.4971042,1653.4971042,1653.4971042,1509.71474731,51211.9167671,25971.0476685
2026,146892.00981,1581.60592575,1581.60592575,1581.60592575,1437.82356887,51140.0255887,25899.1564901
2027,146676.336275,1365.93239042,1365.93239042,1365.93239042,1222.15003354,50924.3520534,25683.4829548
2028,146460.662739,1150.25885509,1150.25885509,1150.25885509,1006.47649821,50708.678518,25467.8094194
2029,146676.336275,1365.93239042,1365.93239042,1365.93239042,1222.15003354,50924.3520534,25683.4829548
2030,146532.553918,1222.15003354,1222.15003354,1222.15003354,1078.36767665,50780.5696965,25539.7005979
2031,146532.553918,1222.15003354,1222.15003354,1222.15003354,1078.36767665,50780.5696965,25539.7005979
2032,146316.880383,1006.47649821,1006.47649821,1006.47649821,862.694141319,50564.8961611,25324.0270625
2033,146244.989204,934.585319763,934.585319763,934.585319763,790.802962876,50493.0049827,25252.1358841
2034,145957.42449,647.020605989,647.020605989,647.020605989,503.238249103,50205.4402689,24964.5711703
2035,146029.315669,718.911784433,718.911784433,718.911784433,575.129427546,50277.3314474,25036.4623488
2036,145957.42449,647.020605989,647.020605989,647.020605989,503.238249103,50205.4402689,24964.5711703
2037,146029.315669,718.911784433,718.911784433,718.911784433,575.129427546,50277.3314474,25036.4623488
2038,145813.642133,503.238249103,503.238249103,503.238249103,359.455892216,50061.657912,24820.7888134
2039,145526.07742,215.67353533,215.67353533,215.67353533,71.8911784433,49774.0931983,24533.2240997
2040,145238.512706,0.0,0.0,0.0,0.0,49486.5284845,24245.6593859
2041,144879.056814,0.0,0.0,0.0,0.0,49127.0725923,23886.2034937
2042,144663.383278,0.0,0.0,0.0,0.0,48911.3990569,23670.5299583
2043,144447.709743,0.0,0.0,0.0,0.0,48695.7255216,23454.856423
2044,144160.145029,0.0,0.0,0.0,0.0,48408.1608078,23167.2917092
2045,144088.253851,0.0,0.0,0.0,0.0,48336.2696294,23095.4005308
2046,143656.90678,0.0,0.0,0.0,0.0,47904.9225587,22664.0534601
2047,143585.015602,0.0,0.0,0.0,0.0,47833.0313803,22592.1622817
2048,143297.450888,0.0,0.0,0.0,0.0,47545.4666665,22304.5975679
2049,143081.777353,0.0,0.0,0.0,0.0,47329.7931312,22088.9240326
2050,142578.539104,0.0,0.0,0.0,0.0,46826.5548821,21585.6857835
