year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,15643.81,1544918.0,0.0,1544918.0
2004,,15643.81,1516360.0,0.0,1516360.0
2005,,15643.81,1458706.0,0.0,1458706.0
2006,,15643.81,1558367.0,0.0,1558367.0
2007,,15643.81,1492632.0,0.0,1492632.0
2008,,15643.81,1478284.0,0.0,1478284.0
2009,,15643.81,1527952.0,0.0,1527952.0
2010,,15643.81,1562586.0,0.0,1562586.0
2011,,15643.81,1569474.0,0.0,1569474.0
2012,,15643.81,1616404.0,0.0,1616404.0
2013,,15643.81,1787225.0,0.0,1787225.0
2014,start of forecast,15643.81,2041000.0,11745.0,2029255.0
2015,,15643.81,2043000.0,11745.0,2031255.0
2016,,15643.81,2041000.0,11745.0,2029255.0
2017,,15643.81,2041000.0,11745.0,2029255.0
2018,,15643.81,2038000.0,11745.0,2026255.0
2019,,15643.81,2038000.0,11745.0,2026255.0
2020,,15643.81,2035000.0,11745.0,2023255.0
2021,,15643.81,2033000.0,11745.0,2021255.0
2022,,15643.81,2039000.0,11745.0,2027255.0
2023,,15643.81,2045000.0,11745.0,2033255.0
2024,,15643.81,2052000.0,11745.0,2040255.0
2025,,15643.81,2056000.0,11745.0,2044255.0
2026,,15643.81,2055000.0,11745.0,2043255.0
2027,,15643.81,2052000.0,11745.0,2040255.0
2028,,15643.81,2049000.0,11745.0,2037255.0
2029,,15643.81,2052000.0,11745.0,2040255.0
2030,,15643.81,2050000.0,11745.0,2038255.0
2031,,15643.81,2050000.0,11745.0,2038255.0
2032,,15643.81,2047000.0,11745.0,2035255.0
2033,,15643.81,2046000.0,11745.0,2034255.0
2034,,15643.81,2042000.0,11745.0,2030255.0
2035,,15643.81,2043000.0,11745.0,2031255.0
2036,,15643.81,2042000.0,11745.0,2030255.0
2037,,15643.81,2043000.0,11745.0,2031255.0
2038,,15643.81,2040000.0,11745.0,2028255.0
2039,,15643.81,2036000.0,11745.0,2024255.0
2040,,15643.81,2032000.0,11745.0,2020255.0
