year,Base case cost,Modeled wind power
2019,729805.997481,975544.615004
2020,765089.019629,1003926.98637
2021,789035.493092,1023181.01731
2022,810324.13531,1040881.32112
2023,825878.003845,1053950.95538
2024,838988.643492,1065129.4128
2025,853860.264744,1077516.79978
2026,868131.777978,1089028.0527
2027,880058.017649,1098470.05809
2028,889016.222829,1105496.08105
2029,904992.994815,1118712.59273
2030,912897.810909,1124961.25263
2031,927551.0663,1136854.24771
2032,942280.709664,1148547.60473
2033,957904.679287,1161135.28801
2034,972076.447106,1172270.76949
2035,982777.294451,1181039.43462
2036,998348.783514,1193574.63734
2037,1009062.57127,1202356.24288
2038,1025069.9042,1215051.26343
