year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,34541.979031,25561.064483
2018,34541.979031,25561.064483
2019,34541.979031,25561.064483
2020,34541.979031,25561.064483
2021,34541.979031,25561.064483
2022,34541.979031,25561.064483
2023,34541.979031,25561.064483
2024,34541.979031,25561.064483
2025,34541.979031,25561.064483
2026,34541.979031,25561.064483
2027,34541.979031,25561.064483
2028,34541.979031,25561.064483
2029,34541.979031,25561.064483
2030,34541.979031,25561.064483
2031,34541.979031,25561.064483
