year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,5738.62,461760.0,461760.0
2004,,5738.62,432840.0,432840.0
2005,,5738.62,405840.0,405840.0
2006,,5738.62,393000.0,393000.0
2007,,5738.62,391320.0,391320.0
2008,,5738.62,407960.0,407960.0
2009,,5738.62,456792.0,456792.0
2010,,5738.62,481874.0,481874.0
2011,,5738.62,463584.0,463584.0
2012,,5738.62,480071.0,480071.0
2013,,5738.62,431777.0,431777.0
2014,,5738.62,414170.0,414170.0
2015,,5738.62,435688.0,435688.0
2016,start of forecast,5738.62,437000.0,437000.0
2017,,5738.62,437000.0,437000.0
2018,,5738.62,437000.0,437000.0
2019,,5738.62,437000.0,437000.0
2020,,5738.62,437000.0,437000.0
2021,,5738.62,437000.0,437000.0
2022,,5738.62,438000.0,438000.0
2023,,5738.62,438000.0,438000.0
2024,,5738.62,438000.0,438000.0
2025,,5738.62,438000.0,438000.0
2026,,5738.62,438000.0,438000.0
2027,,5738.62,438000.0,438000.0
2028,,5738.62,438000.0,438000.0
2029,,5738.62,438000.0,438000.0
2030,,5738.62,438000.0,438000.0
2031,,5738.62,438000.0,438000.0
2032,,5738.62,438000.0,438000.0
2033,,5738.62,438000.0,438000.0
2034,,5738.62,438000.0,438000.0
2035,,5738.62,438000.0,438000.0
2036,,5738.62,438000.0,438000.0
2037,,5738.62,438000.0,438000.0
2038,,5738.62,438000.0,438000.0
2039,,5738.62,438000.0,438000.0
2040,,5738.62,438000.0,438000.0
