year,Base case cost,Modeled water and wastewater efficiency
2017,63666.3373399,48654.4415737
2018,67921.7468243,51538.0353931
2019,73762.1672778,55532.0000152
2020,76554.401737,57396.8153492
2021,78368.2284806,58579.5800112
2022,79688.9323666,59419.5410499
2023,80637.7879503,60001.4426371
2024,81467.6668249,60502.0783152
2025,82422.2248805,61091.7638143
2026,83503.1379644,61771.6333716
2027,84459.3741326,62366.0980643
2028,85170.0790366,62790.6199263
2029,86270.7040294,63489.5550018
2030,86878.6974197,63845.6834434
2031,88088.0864158,64623.8890126
