year,Base case cost,Modeled diesel efficiency
2019,175433.342723,334326.748384
2020,184582.927491,338546.69589
2021,190550.047992,339969.53758
2022,195371.991133,340445.101443
2023,198561.737927,339528.444691
2024,201352.766372,338338.764197
2025,204542.513166,337598.90601
2026,208130.978309,337306.822834
2027,211320.725103,336735.5729
2028,213713.035199,335520.732521
2029,217301.500342,335472.75118
2030,219295.092088,334052.468278
2031,223282.275581,334520.306461
2032,226870.740724,334699.662678
2033,230857.924217,335313.745211
2034,234845.107709,335998.389403
2035,237237.417805,335302.056518
2036,241623.319646,336485.372581
2037,244015.629742,335922.048165
2038,248002.813234,336872.784092
