year,Base case diesel consumed,Modeled diesel efficiency
2019,39780.8033385,36164.3666714
2020,39780.8033385,36164.3666714
2021,39780.8033385,36164.3666714
2022,39871.8349251,36247.1226592
2023,39871.8349251,36247.1226592
2024,39871.8349251,36247.1226592
2025,39871.8349251,36247.1226592
2026,39871.8349251,36247.1226592
2027,39871.8349251,36247.1226592
2028,39871.8349251,36247.1226592
2029,39871.8349251,36247.1226592
2030,39871.8349251,36247.1226592
2031,39871.8349251,36247.1226592
2032,39871.8349251,36247.1226592
2033,39871.8349251,36247.1226592
2034,39871.8349251,36247.1226592
2035,39871.8349251,36247.1226592
2036,39871.8349251,36247.1226592
2037,39871.8349251,36247.1226592
2038,39871.8349251,36247.1226592
