year,Base case cost,Modeled non-residential energy efficiency
2017,286088.456145,302607.800975
2018,305568.939484,319058.180288
2019,332285.030922,342056.408917
2020,345086.491402,352537.953516
2021,353435.269976,359030.817215
2022,359557.707597,363541.148186
2023,364010.389503,366570.061559
2024,367906.486171,369120.367971
2025,372359.168077,372194.891037
2026,377368.435222,375793.102602
2027,381821.117128,378911.12246
2028,385160.628558,381046.764703
2029,390169.895702,384707.948553
2030,392952.821894,386382.418119
2031,398518.674276,390584.844292
