year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,30068.08,167716.96,118845.22,33598.25,118371.5,79956.65
2018,32230.96,179806.65,126434.64,35690.79,125762.29,84948.92
2019,35199.2,196386.8,136842.99,38562.97,135898.23,91795.47
2020,36618.51,204331.46,141830.32,39935.89,140755.03,95076.11
2021,37540.77,209512.75,145082.93,40827.46,143922.52,97215.65
2022,38212.65,213312.37,147468.17,41476.28,146245.34,98784.65
2023,38695.81,216075.73,141812.31,41941.98,147934.66,95928.71
2024,39118.39,218493.67,143255.0,42349.28,149412.82,96887.23
2025,39604.19,221257.03,144903.8,42818.03,151102.14,97982.68
2026,40154.02,224365.81,146758.7,43349.12,153002.63,99215.06
2027,40640.6,227129.16,140673.19,43818.78,154691.95,96130.9
2028,41002.47,229201.68,141845.34,44167.61,155958.95,96918.25
2029,41561.56,232310.46,143603.57,44709.14,157859.44,98099.28
2030,41870.54,234037.56,144580.36,45008.16,158915.26,98755.41
2031,42485.37,237491.76,146533.95,45602.71,161026.92,100067.66
2032,,,148292.18,,,101248.69
2033,,,150245.76,,,102560.95
2034,,,143831.33,,,99356.98
2035,,,144939.04,,,100110.1
2036,,,146969.84,,,101490.82
