year,annotation,Average Load
2003,,149.0
2004,,154.0
2005,,158.0
2006,,153.0
2007,,149.0
2008,,153.0
2009,,153.0
2010,,152.0
2011,,154.0
2012,,155.0
2013,,167.0
2014,start of forecast,158.0
2015,,160.0
2016,,162.0
2017,,164.0
2018,,166.0
2019,,168.0
2020,,170.0
2021,,172.0
2022,,174.0
2023,,176.0
2024,,177.0
2025,,179.0
2026,,181.0
2027,,183.0
2028,,185.0
2029,,187.0
2030,,189.0
2031,,191.0
2032,,193.0
2033,,195.0
2034,,197.0
2035,,198.0
2036,,200.0
2037,,202.0
2038,,204.0
2039,,206.0
2040,,207.0
