year,Base case cost,Modeled water and wastewater efficiency
2017,46291.4420049,66571.8326733
2018,48416.2578055,67290.0047786
2019,51283.9846242,68549.3030795
2020,52602.5083775,68750.0901003
2021,53488.5537817,68668.2753864
2022,54113.9485547,68423.1563716
2023,54482.7217302,68016.3136018
2024,54762.0248342,67564.750756
2025,55119.8675312,67185.3821888
2026,55554.6347876,66877.0544965
2027,55904.1433858,66524.5163766
2028,56168.6126548,66127.6485175
2029,56575.7343211,65851.9649056
2030,56738.7738711,65418.0111589
2031,57145.2124866,65169.2479745
