year,Base case cost,Modeled solar power
2020,344151.457979,356143.892847
2021,362083.341806,373563.475472
2022,376565.144725,387593.232393
2023,387944.229833,398579.117722
2024,398279.01784,408545.988213
2025,409962.781594,419854.605947
2026,423035.261788,432544.899072
2027,434792.619418,443944.627013
2028,445706.591229,454524.956661
2029,459823.368524,468285.151666
2030,470022.00786,478181.493992
2031,483952.592648,491771.52439
2032,499098.948268,506570.171951
2033,512837.45304,519983.939375
2034,528074.329127,534888.822883
2035,539463.717377,545998.070124
2036,555343.068002,561560.240789
2037,567311.640057,573262.458624
2038,583553.80849,589201.629104
2039,596890.490699,602270.875354
