year,Base case cost,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,245752.766071,520778.838871,
2018,277755.06305,525737.488793,
2019,320848.693082,535769.057397,488815.949814
2020,344151.457979,538677.577669,498928.421648
2021,362083.341806,539878.715265,505920.302039
2022,376565.144725,539903.998791,510865.396584
2023,387944.229833,539096.164127,514107.839551
2024,398279.01784,538124.579911,516859.210239
2025,409962.781594,537993.572937,520666.014062
2026,423035.261788,538738.574458,525564.984627
2027,434792.619418,539036.070297,529693.034547
2028,445706.591229,539353.687535,533519.032884
2029,459823.368524,541656.80396,539820.837929
2030,470022.00786,542281.890121,543583.99205
2031,483952.592648,544721.601892,549924.84301
2032,499098.948268,547840.560173,557168.296252
2033,512837.45304,550396.026412,563531.871293
2034,528074.329127,553906.12479,571075.61464
2035,539463.717377,555790.581613,576138.614538
2036,555343.068002,560229.84768,584524.88429
2037,567311.640057,,590362.431183
2038,583553.80849,,599302.303099
