year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,1302937.0,541430.0,761507.0
2004,,1350841.0,535379.0,815462.0
2005,,1380909.0,536822.0,844087.0
2006,,1340576.0,543909.0,796667.0
2007,,1305957.0,524617.0,781340.0
2008,,1342903.0,541127.0,801776.0
2009,,1337145.0,574065.0,763080.0
2010,,1333236.0,566721.0,766515.0
2011,,1345940.0,569078.0,776862.0
2012,,1361590.0,619256.0,742334.0
2013,,1460806.0,641182.0,819624.0
2014,start of forecast,1387985.0,608378.0,779607.0
2015,,1404013.0,624407.0,779607.0
2016,,1420307.0,640701.0,779607.0
2017,,1436654.0,657048.0,779607.0
2018,,1453243.0,673637.0,779607.0
2019,,1470191.0,690584.0,779607.0
2020,,1487173.0,707567.0,779607.0
2021,,1503971.0,724364.0,779607.0
2022,,1520789.0,741182.0,779607.0
2023,,1537545.0,757938.0,779607.0
2024,,1554534.0,774927.0,779607.0
2025,,1571567.0,791960.0,779607.0
2026,,1588698.0,809091.0,779607.0
2027,,1605592.0,825985.0,779607.0
2028,,1622365.0,842758.0,779607.0
2029,,1640950.0,861343.0,779607.0
2030,,1659095.0,879488.0,779607.0
2031,,1676617.0,897010.0,779607.0
2032,,1692453.0,912846.0,779607.0
2033,,1707651.0,928044.0,779607.0
2034,,1722751.0,943144.0,779607.0
2035,,1738135.0,958529.0,779607.0
2036,,1754098.0,974492.0,779607.0
2037,,1770527.0,990921.0,779607.0
2038,,1786535.0,1006928.0,779607.0
2039,,1801530.0,1021923.0,779607.0
2040,,1815716.0,1036109.0,779607.0
