year,Base case cost,Modeled diesel efficiency
2019,320848.693082,518954.831703
2020,344151.457979,534812.42432
2021,362083.341806,545912.24324
2022,376565.144725,553997.54436
2023,387944.229833,559381.254812
2024,398279.01784,563931.875623
2025,409962.781594,569822.384326
2026,423035.261788,577086.247562
2027,434792.619418,583262.830961
2028,445706.591229,588778.44822
2029,459823.368524,597308.976528
2030,470022.00786,602378.410623
2031,483952.592648,610939.008072
2032,499098.948268,620701.02916
2033,512837.45304,629277.109133
2034,528074.329127,639307.066802
2035,539463.717377,645928.880452
2036,555343.068002,656719.950943
2037,567311.640057,664041.190925
2038,583553.80849,675330.939138
