year,annotation,diesel generation efficiency
2002,,13.02
2003,,12.99
2004,,13.45
2005,,13.77
2006,,13.5
2007,,13.22
2008,,13.74
2009,,13.29
2010,,14.15
2011,,13.59
2012,,13.98
2013,,13.2
2014,start of forecast,13.59
2015,,13.59
2016,,13.59
2017,,13.59
2018,,13.59
2019,,13.59
2020,,13.59
2021,,13.59
2022,,13.59
2023,,13.59
2024,,13.59
2025,,13.59
2026,,13.59
2027,,13.59
2028,,13.59
2029,,13.59
2030,,13.59
2031,,13.59
2032,,13.59
2033,,13.59
2034,,13.59
2035,,13.59
2036,,13.59
2037,,13.59
2038,,13.59
2039,,13.59
2040,,13.59
