year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.33
2001,,,2.1
2004,,1.71,2.8
2005,,1.82,3.25
2006,,1.85,4.38
2008,,3.12,5.91
2009,,3.92,7.73
2010,,2.9,7.08
2011,,3.05,5.78
2012,,3.72,7.2
2013,,3.62,7.33
2014,,,3.66
2016,,1.85,4.31
2017,,2.21,4.67
2018,,2.47,4.93
2019,,2.82,5.28
2020,,2.99,5.45
2021,,3.11,5.57
2022,,3.2,5.66
2023,,3.26,5.72
2024,,3.31,5.77
2025,,3.37,5.83
2026,,3.44,5.9
2027,,3.5,5.96
2028,,3.55,6.01
2029,,3.62,6.08
2030,,3.66,6.12
2031,,3.73,6.19
2032,,3.81,6.27
2033,,3.88,6.34
2034,,3.96,6.42
2035,,4.01,6.47
2036,,4.09,6.55
2037,,4.14,6.6
2038,,4.22,6.68
2039,,4.28,6.74
2040,,4.37,6.83
