year,Base case diesel consumed,Modeled solar power
2020,115100.822067,113439.349584
2021,116425.511835,114777.331132
2022,117676.607727,116041.612469
2023,119001.297495,117379.382199
2024,120325.987263,118717.04729
2025,121650.677031,120054.608578
2026,122975.366799,121392.066893
2027,124226.462691,122655.829184
2028,125551.152459,123993.084021
2029,127023.029979,125477.426088
2030,128421.313623,126888.074563
2031,129746.003391,128225.030244
2032,130997.099283,129488.293921
2033,132174.601299,130677.86638
2034,133352.103315,131867.342275
2035,134529.605331,133056.72238
2036,135780.701223,134319.601335
2037,137031.797115,135582.386026
2038,138282.893007,136845.077207
2039,139460.395023,138034.08175
