year,Base case cost,Modeled non-residential energy efficiency
2017,752371.005892,750057.209573
2018,789380.606064,781311.489188
2019,839201.221681,824139.56473
2020,863399.806409,843962.561714
2021,880481.160335,857427.931714
2022,893292.175779,867095.919545
2023,901832.852742,872965.48012
2024,908950.083544,877596.907826
2025,917490.760507,883550.520999
2026,927454.88363,890825.346321
2027,935995.560593,896859.118288
2028,943112.791395,901650.908704
2029,953076.914519,909041.783556
2030,958770.699161,912627.570182
2031,968734.822284,920091.349046
