year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4643.90789573,3018.54013222
2018,4557.31462707,2962.2545076
2019,4468.85024491,2904.75265919
2020,4380.20074902,2847.13048686
2021,4292.51677434,2790.13590332
2022,4204.72759114,2733.07293424
2023,4117.26335577,2676.22118125
2024,4028.57856842,2618.57606947
2025,3939.66605124,2560.7829333
2026,3850.24280663,2502.65782431
2027,3762.05809268,2445.33776024
2028,3674.50396395,2388.42757657
2029,3577.4910568,2325.36918692
2030,3482.77475837,2263.80359294
2031,3391.30926995,2204.35102546
