year,Base case diesel consumed,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,69152.0758805,33585.2209769,0.0
2022,69231.2878804,33664.4329768,79.2119998631
2023,69310.4998802,33743.6449766,158.423999726
2024,69389.7118801,33822.8569765,237.635999589
2025,69389.7118801,33822.8569765,237.635999589
2026,69468.9238799,33902.0689764,316.847999452
2027,69548.1358798,33981.2809762,396.059999316
2028,69627.3478797,34060.4929761,475.271999179
2029,69627.3478797,34060.4929761,475.271999179
2030,69706.5598795,34139.704976,554.483999042
2031,69785.7718794,34218.9169758,633.695998905
2032,69864.9838793,34298.1289757,712.907998768
2033,69864.9838793,34298.1289757,712.907998768
2034,69944.1958791,34377.3409755,792.119998631
2035,69944.1958791,34377.3409755,792.119998631
2036,70023.407879,34456.5529754,871.331998494
2037,70102.6198789,34535.7649753,950.543998357
2038,70102.6198789,34535.7649753,950.543998357
2039,70181.8318787,34614.9769751,1029.75599822
2040,70261.0438786,34694.188975,1108.96799808
2041,70261.0438786,34694.188975,1108.96799808
2042,70340.2558784,34773.4009749,1188.17999795
2043,70340.2558784,34773.4009749,1188.17999795
2044,70419.4678783,34852.6129747,1267.39199781
2045,70498.6798782,34931.8249746,1346.60399767
2046,70498.6798782,34931.8249746,1346.60399767
2047,70577.891878,35011.0369745,1425.81599754
2048,70577.891878,35011.0369745,1425.81599754
2049,70657.1038779,35090.2489743,1505.0279974
2050,70657.1038779,35090.2489743,1505.0279974
