year,Base case cost,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,225435.76737,1483291.82428,549182526.53
2022,231924.814399,1486427.07459,549173494.341
2023,237041.90959,1488935.66122,549166539.365
2024,240782.300224,1490812.83146,549161656.847
2025,244945.682937,1492740.34969,549155472.739
2026,250782.815207,1495596.32932,549147513.218
2027,255241.658679,1497819.30832,549141624.571
2028,259013.734112,1499728.16335,549136773.738
2029,263887.648464,1501993.56914,549129575.58
2030,267673.189937,1503915.89022,549124738.213
2031,273560.225767,1506821.77341,549116828.595
2032,278761.285678,1509414.32477,549109957.583
2033,284350.484389,1512022.37084,549101750.128
2034,290268.412898,1514959.14671,549093871.403
2035,294465.064651,1516919.93398,549087720.565
2036,300400.419801,1519874.1365,549079859.266
2037,304245.370274,1521855.86657,549075081.308
2038,309853.579865,1524482.92352,549066892.864
2039,315116.425135,1527137.26024,549060083.637
2040,321795.580964,1530462.61935,549051241.558
2041,321795.580964,1530462.61935,549051241.558
2042,322158.371923,1530825.41031,549051604.349
2043,322158.371923,1530825.41031,549051604.349
2044,322521.162883,1531188.20127,549051967.14
2045,322883.953842,1531550.99223,549052329.931
2046,322883.953842,1531550.99223,549052329.931
2047,323246.744801,1531913.78319,549052692.722
2048,323246.744801,1531913.78319,549052692.722
2049,323609.535761,1532276.57415,549053055.513
2050,323609.535761,1532276.57415,549053055.513
