year,Base case cost,Modeled diesel efficiency
2019,204455.677087,385744.917802
2020,216888.792585,397047.750073
2021,225435.76737,404817.727151
2022,231924.814399,410716.860813
2023,237041.90959,415368.765533
2024,240782.300224,418769.120654
2025,244945.682937,422554.014029
2026,250782.815207,427860.497911
2027,255241.658679,431913.991977
2028,259013.734112,435343.151462
2029,263887.648464,439773.98269
2030,267673.189937,443215.38403
2031,273560.225767,448567.234784
2032,278761.285678,453295.471067
2033,284350.484389,458376.560804
2034,290268.412898,463756.495813
2035,294465.064651,467571.63377
2036,300400.419801,472967.411179
2037,304245.370274,476462.8207
2038,309853.579865,481561.193055
