year,Base case cost,Modeled biomass for heat (pellet)
2017,218336.166564,224602.822337
2018,235119.904979,239501.640512
2019,259373.224979,261116.020823
2020,265894.314162,266329.139311
2021,273834.65337,273281.429681
2022,279941.372578,278593.559274
2023,284214.561786,282265.526547
2024,282230.862554,279810.699212
2025,286428.821761,283414.799063
2026,291227.010969,287559.496848
2027,295429.600969,291175.248993
2028,298426.480177,293715.047053
2029,297804.80936,292450.05016
2030,300752.90936,294947.608296
2031,305469.86936,299027.628239
2032,310771.178568,303631.894142
2033,315482.707776,307712.573475
2034,314940.256167,306479.026005
2035,318413.356167,309453.453074
2036,323617.415375,313972.088344
