year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9499.52232203,6174.68950932
2018,9498.47131551,6174.00635508
2019,9497.6154044,6173.45001286
2020,9496.77230394,6172.90199756
2021,9496.01153855,6172.40750006
2022,9495.20793757,6171.88515942
2023,9494.37017487,6171.34061367
2024,9493.63262878,6170.8612087
2025,9492.93431527,6170.40730493
2026,9492.28631023,6169.98610165
2027,9491.5815914,6169.52803441
2028,9490.86099272,6169.05964527
2029,9490.13051916,6168.58483746
2030,9490.0110866,6168.50720629
2031,9489.59847713,6168.23901014
