year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,62190.0,55871.5553433
2018,62188.0,55869.5553433
2019,62188.0,55869.5553433
2020,61114.0,54795.5553433
2021,61113.0,54794.5553433
2022,61112.0,54793.5553433
2023,61111.0,54792.5553433
2024,60039.0,53720.5553433
2025,60038.0,53719.5553433
2026,60037.0,53718.5553433
2027,60037.0,53718.5553433
2028,60036.0,53717.5553433
2029,58962.0,52643.5553433
2030,58962.0,52643.5553433
2031,58962.0,52643.5553433
2032,58961.0,52642.5553433
2033,58960.0,52641.5553433
2034,57885.0,51566.5553433
2035,57885.0,51566.5553433
2036,57884.0,51565.5553433
