year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,726045.25,9499.52,22042.84,30646.97
2018,726257.81,9498.47,22042.84,30646.97
2019,726399.52,9497.62,22042.84,30646.97
2020,726541.23,9496.77,22042.84,29574.25
2021,726682.94,9496.01,22042.84,29574.25
2022,726824.65,9495.21,22042.84,29574.25
2023,726966.36,9494.37,22042.84,29574.25
2024,727037.21,9493.63,22042.84,28501.52
2025,727178.92,9492.93,22042.84,28501.52
2026,727320.63,9492.29,22042.84,28501.52
2027,727391.48,9491.58,22042.84,28501.52
2028,727533.19,9490.86,22042.84,28501.52
2029,727674.9,9490.13,22042.84,27428.79
2030,727674.9,9490.01,22042.84,27428.79
2031,727745.76,9489.6,22042.84,27428.79
2032,727887.47,9488.66,22042.84,27428.79
2033,728100.03,9487.58,22042.84,27428.79
2034,728312.59,9486.49,22042.84,26356.06
2035,728454.3,9485.54,22042.84,26356.06
2036,728596.01,9484.77,22042.84,26356.06
2037,728666.86,9484.16,22042.84,26356.06
2038,728808.57,9483.46,22042.84,25283.34
2039,728950.28,9482.51,22042.84,25283.34
2040,729162.84,9481.48,22042.84,25283.34
