year,Base case cost,Modeled solar power (pv)
2016,564164.326335,593460.694079
2017,672869.060059,700545.743143
2018,752455.723076,778988.90499
2019,863666.215659,888591.735604
2020,914615.634579,938881.830276
2021,950814.142544,974651.944768
2022,977666.867696,1001229.23017
2023,994877.275014,1018313.57051
2024,1012098.29995,1035411.55267
2025,1029329.94251,1052523.13634
2026,1051076.34975,1074082.15452
2027,1070742.46142,1093599.76211
2028,1088002.92324,1110749.71582
2029,1107692.54536,1130297.34967
2030,1120136.39868,1142704.62425
2031,1144329.40945,1166693.94036
2032,1166468.66871,1188667.31873
2033,1191042.39708,1213045.68807
2034,1215631.29348,1237443.44559
2035,1230546.01918,1252301.9443
