year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.6
2001,,,
2004,,2.39,3.6
2005,,2.7,3.6
2011,,5.05,6.75
2012,,4.72,6.75
2013,,4.47,6.75
2014,,,6.75
2016,,3.61,4.89
2017,,4.18,5.46
2018,,4.6,5.88
2019,,5.15,6.43
2020,,5.41,6.69
2021,,5.59,6.87
2022,,5.72,7.0
2023,,5.82,7.1
2024,,5.89,7.17
2025,,5.98,7.26
2026,,6.09,7.37
2027,,6.18,7.46
2028,,6.26,7.54
2029,,6.36,7.64
2030,,6.42,7.7
2031,,6.53,7.81
2032,,6.64,7.92
2033,,6.75,8.03
2034,,6.87,8.15
2035,,6.94,8.22
2036,,7.06,8.34
2037,,7.13,8.41
2038,,7.25,8.53
2039,,7.34,8.62
2040,,7.46,8.74
