year,Base case cost,Modeled solar power
2020,210710.032854,213042.067178
2021,217720.717866,219878.702235
2022,222783.990374,224796.558968
2023,226678.815381,228564.061148
2024,228912.907064,230688.499519
2025,232910.535391,234569.44642
2026,237194.842898,238730.217887
2027,240700.185404,242124.456362
2028,244339.255807,245659.82406
2029,248242.438807,249452.426234
2030,250584.348608,251705.038098
2031,254877.849908,255888.37058
2032,259726.321981,260629.260976
2033,264029.017074,264826.907141
2034,268722.866267,269413.669341
2035,272040.989717,272649.612841
2036,276744.868501,277251.173062
2037,279488.797792,279917.232666
2038,284192.676577,284523.364182
2039,287720.585666,287968.847159
