year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,427380
2004,,0,0,0,0,0,414180
2005,,0,0,0,0,0,425380
2006,,0,0,0,0,0,187180
2007,,0,0,0,0,0,105200
2008,,0,0,0,0,0,0
2009,,0,0,0,0,0,0
2010,,0,0,0,0,0,86465
2011,,0,0,0,0,0,237380
2012,,0,0,0,0,0,554110
2013,,0,0,0,0,0,548923
2014,start of forecast,0,0,0,0,0,466000
2015,,0,0,0,0,0,466000
2016,,0,0,0,0,0,466000
2017,,0,0,0,0,0,466000
2018,,0,0,0,0,0,466000
2019,,0,0,0,0,0,467000
2020,,0,0,0,0,0,466000
2021,,0,0,0,0,0,466000
2022,,0,0,0,0,0,466000
2023,,0,0,0,0,0,466000
2024,,0,0,0,0,0,465000
2025,,0,0,0,0,0,466000
2026,,0,0,0,0,0,466000
2027,,0,0,0,0,0,466000
2028,,0,0,0,0,0,467000
2029,,0,0,0,0,0,467000
2030,,0,0,0,0,0,467000
2031,,0,0,0,0,0,467000
2032,,0,0,0,0,0,468000
2033,,0,0,0,0,0,468000
2034,,0,0,0,0,0,468000
2035,,0,0,0,0,0,469000
2036,,0,0,0,0,0,469000
2037,,0,0,0,0,0,469000
2038,,0,0,0,0,0,469000
2039,,0,0,0,0,0,469000
2040,,0,0,0,0,0,469000
