year,Base case diesel consumed,Modeled solar power
2020,38948.2500654,38442.7231211
2021,38948.2500654,38446.7673366
2022,38948.2500654,38450.7791985
2023,38948.2500654,38454.7589654
2024,38864.6701297,38375.1269584
2025,38948.2500654,38462.6232396
2026,38948.2500654,38466.5082542
2027,38948.2500654,38470.3621887
2028,39031.8300012,38557.7652274
2029,39031.8300012,38561.5577456
2030,39031.8300012,38565.3199237
2031,39031.8300012,38569.0520043
2032,39115.4099369,38656.334164
2033,39115.4099369,38660.0067702
2034,39115.4099369,38663.6499955
2035,39198.9898727,38750.8440108
2036,39198.9898727,38754.4291777
2037,39198.9898727,38757.9856633
2038,39198.9898727,38761.513697
2039,39198.9898727,38765.0135064
