year,Base case diesel consumed,Modeled transmission and interties
2021,38948.2500654,0.0
2022,38948.2500654,0.0
2023,38948.2500654,0.0
2024,38864.6701297,0.0
2025,38948.2500654,0.0
2026,38948.2500654,0.0
2027,38948.2500654,0.0
2028,39031.8300012,0.0
2029,39031.8300012,0.0
2030,39031.8300012,0.0
2031,39031.8300012,0.0
2032,39115.4099369,0.0
2033,39115.4099369,0.0
2034,39115.4099369,0.0
2035,39198.9898727,0.0
2036,39198.9898727,0.0
2037,39198.9898727,0.0
2038,39198.9898727,0.0
2039,39198.9898727,0.0
2040,39198.9898727,0.0
