year,annotation,Electricity price ($/kwh)
2002,,0.5
2003,,0.5
2004,,0.5
2005,,0.5
2006,,0.5
2007,,0.51
2008,,0.5
2009,,0.5
2010,,0.6
2011,,0.73
2012,,0.74
2013,,0.7
2016,,0.56
2017,,0.61
2018,,0.64
2019,,0.69
2020,,0.71
2021,,0.72
2022,,0.74
2023,,0.74
2024,,0.75
2025,,0.76
2026,,0.77
2027,,0.77
2028,,0.78
2029,,0.79
2030,,0.79
2031,,0.8
2032,,0.81
2033,,0.82
2034,,0.83
2035,,0.84
2036,,0.85
2037,,0.85
2038,,0.86
2039,,0.87
2040,,0.88
