year,Base case cost,Modeled wind power
2019,587814.579689,785230.440209
2020,628398.216696,818887.808631
2021,660892.722316,845114.931967
2022,685098.03304,863709.146002
2023,703854.978511,877234.781056
2024,720678.627682,889067.445467
2025,738387.103261,901885.860189
2026,764348.982635,922645.297792
2027,786016.57569,939617.637085
2028,805703.762782,954703.562886
2029,831644.014063,975860.383188
2030,850779.966154,990713.482048
2031,875806.215555,1011133.47635
2032,901422.453848,1032228.94538
2033,929835.331602,1056067.55616
2034,955287.291826,1077163.75507
2035,976019.658658,1093893.93503
2036,1004264.61568,1117803.51465
2037,1023817.22225,1133644.5898
2038,1052962.71488,1158604.77886
