year,Base case cost,Modeled transmission and interties
2021,1067520.23072,1990426.35706
2022,1103744.42896,2037826.23331
2023,1133559.4582,2069532.74825
2024,1156469.58162,2101081.80199
2025,1183114.75518,2133055.35163
2026,1216467.35698,2177078.74052
2027,1243600.09589,2213745.28291
2028,1267924.56737,2243030.62915
2029,1298849.55682,2279891.15724
2030,1317594.94612,2302351.29141
2031,1352026.86505,2347756.11816
2032,1389348.76627,2396837.74484
2033,1428069.35353,2447711.50712
2034,1470908.36983,2499386.37349
2035,1500043.8038,2538924.55345
2036,1542975.43028,2590687.07863
2037,1572335.58012,2630536.1227
2038,1616834.77003,2688522.42313
2039,1655788.24465,2735755.90997
2040,1707250.22174,2802316.54032
