year,Base case cost,Modeled biomass for heat (pellet)
2017,442009.093549,534866.046965
2018,493983.193549,571944.304331
2019,565014.463549,622617.922731
2020,599663.863549,647336.760975
2021,623918.443549,664639.947745
2022,641243.143549,676999.366867
2023,655102.903549,686886.902165
2024,665497.723549,694302.553638
2025,677625.013549,702954.147023
2026,693217.243549,714077.624233
2027,705344.533549,722729.217619
2028,715739.353549,730144.869092
2029,731331.583549,741268.346302
2030,739993.933549,747448.055862
2031,755586.163549,758571.533072
2032,,
2033,,
2034,,
2035,,
2036,,
