year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,1810000.0,48140.82,4707816.0,0.0,4707816.0
2004,,1810000.0,48140.82,5285544.0,0.0,5285544.0
2005,,1810000.0,48140.82,5228291.0,0.0,5228291.0
2006,,1810000.0,48140.82,5346565.0,0.0,5346565.0
2007,,1810000.0,48140.82,5089180.0,0.0,5089180.0
2008,,1810000.0,48140.82,5111230.0,0.0,5111230.0
2009,,1810000.0,48140.82,4822500.0,0.0,4822500.0
2010,,1810000.0,48140.82,4624467.0,0.0,4624467.0
2011,,1810000.0,48140.82,4860308.0,0.0,4860308.0
2012,,1810000.0,48140.82,4745689.0,0.0,4745689.0
2013,,1810000.0,48140.82,4723813.0,0.0,4723813.0
2014,start of forecast,1810000.0,48140.82,4847000.0,1810000.0,3037000.0
2015,,1810000.0,48140.82,4869000.0,1810000.0,3059000.0
2016,,1810000.0,48140.82,4890000.0,1810000.0,3080000.0
2017,,1810000.0,48140.82,4912000.0,1810000.0,3102000.0
2018,,1810000.0,48140.82,4929000.0,1810000.0,3119000.0
2019,,1810000.0,48140.82,4938000.0,1810000.0,3128000.0
2020,,1810000.0,48140.82,4948000.0,1810000.0,3138000.0
2021,,1810000.0,48140.82,4961000.0,1810000.0,3151000.0
2022,,1810000.0,48140.82,4972000.0,1810000.0,3162000.0
2023,,1810000.0,48140.82,4984000.0,1810000.0,3174000.0
2024,,1810000.0,48140.82,4995000.0,1810000.0,3185000.0
2025,,1810000.0,48140.82,5007000.0,1810000.0,3197000.0
2026,,1810000.0,48140.82,5018000.0,1810000.0,3208000.0
2027,,1810000.0,48140.82,5031000.0,1810000.0,3221000.0
2028,,1810000.0,48140.82,5046000.0,1810000.0,3236000.0
2029,,1810000.0,48140.82,5046000.0,1810000.0,3236000.0
2030,,1810000.0,48140.82,5052000.0,1810000.0,3242000.0
2031,,1810000.0,48140.82,5065000.0,1810000.0,3255000.0
2032,,1810000.0,48140.82,5088000.0,1810000.0,3278000.0
2033,,1810000.0,48140.82,5115000.0,1810000.0,3305000.0
2034,,1810000.0,48140.82,5143000.0,1810000.0,3333000.0
2035,,1810000.0,48140.82,5171000.0,1810000.0,3361000.0
2036,,1810000.0,48140.82,5197000.0,1810000.0,3387000.0
2037,,1810000.0,48140.82,5224000.0,1810000.0,3414000.0
2038,,1810000.0,48140.82,5253000.0,1810000.0,3443000.0
2039,,1810000.0,48140.82,5286000.0,1810000.0,3476000.0
2040,,1810000.0,48140.82,5323000.0,1810000.0,3513000.0
