year,Base case cost,Modeled non-residential energy efficiency
2017,1702200.48413,1635106.56328
2018,1806478.57355,1725783.60843
2019,1948991.96242,1849708.90346
2020,2018510.6887,1910160.26689
2021,2067173.7971,1952476.2213
2022,2101933.16024,1982701.90301
2023,2129740.65075,2006882.44839
2024,2150596.26863,2025017.85742
2025,2174927.82283,2046175.83462
2026,2206211.24966,2073378.94816
2027,2230542.80386,2094536.92536
2028,2251398.42174,2112672.33439
2029,2282681.84857,2139875.44794
2030,2300061.53014,2154988.2888
2031,2331344.95696,2182191.40234
